Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 89516; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89512; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89509; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89328; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89509; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89324; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89511; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89507; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89334; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89325; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89330; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89326; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89317; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 89426.898438
Standard deviation: 169.828796

Number of affected blocks: 4
Number of cycles: 89330; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89517; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89335; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89516; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89527; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89337; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89322; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89514; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89335; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89342; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89337; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89521; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89525; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89513; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89338; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89334; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89333; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89516; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89512; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89516; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89339; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89522; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89525; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89513; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89511; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89523; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89278; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 89436.531250
Standard deviation: 94.425888

Number of affected blocks: 5
Number of cycles: 89333; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89335; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89339; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 89517; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
