Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 50; Interval: 5; Affected blocks: 0; Measurements per block: 30

Number of blocks: 10
Number of cycles: 178479; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178470; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178240; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178470; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178465; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178433; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178467; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178474; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178473; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178277; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178477; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178429; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178476; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178451; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 178432; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 178439.968750
Standard deviation: 70.492775

Number of blocks: 25
Number of cycles: 218853; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218785; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218800; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218800; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218978; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218788; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218841; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218790; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218827; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218987; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218806; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218797; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218851; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218785; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218969; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218789; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218798; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218963; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218969; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218797; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218796; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218845; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218796; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218785; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218774; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218837; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218766; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218795; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218796; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 218798; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 218832.031250
Standard deviation: 66.778473

Number of blocks: 30
Number of cycles: 259174; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259377; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 261287; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259368; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259364; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259555; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259357; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259170; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259171; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259184; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259163; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 261024; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259119; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259354; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 259360; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
