Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 9419595; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420158; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419957; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419693; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419707; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419663; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420130; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419809; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419895; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419681; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419833; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420074; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419932; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419767; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9420185; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419863; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9419853; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 9419838.000000
Standard deviation: 187.229355

Number of blocks: 40
Number of cycles: 12472271; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472299; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472054; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472603; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472206; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472149; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472062; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12471904; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472510; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472409; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472265; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472217; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472550; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472250; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472049; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12471943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472192; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472448; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472482; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472026; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472055; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472789; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472295; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472160; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472189; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472435; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472235; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12471876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 12472035; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 12472236.000000
Standard deviation: 213.645493

Number of blocks: 50
Number of cycles: 15489314; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489346; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489490; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489346; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489527; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489606; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489328; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489413; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489693; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489540; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489783; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489754; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489724; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489896; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489667; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489799; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489870; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489750; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489528; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489837; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489667; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489750; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489645; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489853; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489962; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489892; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489634; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489961; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489917; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 15489401; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 15489662.000000
Standard deviation: 197.654663

Number of blocks: 60
Number of cycles: 18522827; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523303; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522886; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523573; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522906; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523202; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523239; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523229; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523395; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523349; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523211; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523443; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523348; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523329; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523257; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523326; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523572; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523352; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523099; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522930; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523137; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522960; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523025; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522677; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522588; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18522728; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523203; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523371; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523540; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 18523295; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 18523178.000000
Standard deviation: 258.166107

Number of blocks: 70
Number of cycles: 21602333; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602490; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602345; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602277; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602463; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21601936; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602249; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602243; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602037; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602592; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602387; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602557; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602314; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602294; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602144; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21601949; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602244; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602300; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602172; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602465; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602148; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21601913; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602463; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602238; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602316; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602198; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602365; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602186; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 21602138; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
