Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 7386; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7374; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7380; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7382; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7382; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7368; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7379; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7379; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7374; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7384; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7379; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7383; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7379; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7375; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7375; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7383; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7379; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7385; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7387; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 7194; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 7311.566895
Standard deviation: 89.533112

Number of blocks: 2
Number of cycles: 10687; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10875; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10875; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10687; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10874; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10872; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10872; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10877; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10880; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10877; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10868; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10877; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10878; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10872; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10687; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10873; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10926; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10919; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10868; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10875; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10873; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10872; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10879; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10868; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10876; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 10873; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 10858.799805
Standard deviation: 58.582935

Number of blocks: 3
Number of cycles: 14423; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14553; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14372; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14366; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14367; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14416; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14370; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14367; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14368; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14557; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14368; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14366; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14365; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14367; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14373; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14365; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14162; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 14416; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
