Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 587662; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587788; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587749; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587738; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587705; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587709; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587793; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587720; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587731; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587701; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587747; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587708; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587710; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587717; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587641; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587681; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587680; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587712; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587692; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587720; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587702; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587691; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587706; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587762; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587697; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587715; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587706; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587681; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 587713; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 587713.062500
Standard deviation: 31.906958

Number of blocks: 2
Number of cycles: 888971; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889073; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889019; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889016; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889035; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889005; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888991; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889022; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889060; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889009; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889039; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888957; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889065; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889043; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889105; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889011; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888973; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889039; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889018; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889005; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889047; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889038; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889037; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888986; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889005; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888998; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889038; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 889180; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888990; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 888991; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 889025.625000
Standard deviation: 42.889671

Number of blocks: 3
Number of cycles: 1197563; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197639; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197651; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197596; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197378; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197556; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197396; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197646; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197358; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197580; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197684; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197925; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197615; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197672; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197592; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197591; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197620; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197642; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197625; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197518; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197585; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197595; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197685; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197602; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197632; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197602; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197623; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197638; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1197623; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 1197612.500000
Standard deviation: 117.067146

Number of blocks: 4
Number of cycles: 1502013; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502020; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502027; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1501999; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1501957; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502041; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502042; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502012; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1501967; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1501931; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502020; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 1502010; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
