Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 50; End: 250; Interval: 25; Affected blocks: 1; Measurements per block: 30

Number of blocks: 50
Number of cycles: 181264; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181205; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 180843; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181273; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181255; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181205; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181207; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181273; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181062; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181226; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181214; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181268; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181071; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181264; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181259; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181269; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181266; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181254; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181261; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181259; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181249; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181061; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181241; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181242; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 180997; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181259; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181019; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181051; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181270; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 181266; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 181195.093750
Standard deviation: 107.498024

Number of blocks: 75
Number of cycles: 269771; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269962; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269940; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270138; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269904; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269772; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269656; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270150; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269684; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269955; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269940; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269933; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269921; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269947; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269821; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270111; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270105; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269802; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270144; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270157; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270138; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270136; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269895; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269841; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269827; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269781; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269958; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269602; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 270128; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 269945; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 269935.468750
Standard deviation: 157.473557

Number of blocks: 100
Number of cycles: 358675; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 358581; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 358785; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 358688; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 358780; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
