Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 10; Measurements per number of affected blocks: 30

Number of affected blocks: 1
Number of cycles: 3411125; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411187; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410978; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411044; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411098; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411194; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411258; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411129; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411135; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410962; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410987; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411262; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411022; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411403; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411198; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411025; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410851; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3411116.250000
Standard deviation: 131.207581

Number of affected blocks: 4
Number of cycles: 3411201; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411110; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411198; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411027; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411076; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411250; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411216; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411017; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411283; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411143; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411027; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411345; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411146; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411033; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3410897; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411318; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411329; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3411403; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
