Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 22271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22269; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22311; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22277; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22502; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22271; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22313; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22273; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22275; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22267; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22084; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 22279; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 22294.900391
Standard deviation: 83.166245

Faulty block index: 3
Number of cycles: 23636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23637; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23637; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23638; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23446; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23626; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23633; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23627; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23638; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23631; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23632; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23948; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23851; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23444; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23638; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23638; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23632; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23441; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23633; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23677; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23634; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23874; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23679; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 23636; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 23646.599609
Standard deviation: 102.471657

Faulty block index: 4
Number of cycles: 25297; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25177; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25046; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25001; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25210; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25322; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25007; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25217; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25204; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25000; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25045; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25166; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25043; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25234; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25039; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25195; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25185; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25007; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25003; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25002; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25274; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25005; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 24997; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 24997; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 25001; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
