Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 399695320; hash_key found?: 1
Number of cycles: 399694330; hash_key found?: 1
Number of cycles: 399695407; hash_key found?: 1
Number of cycles: 399694090; hash_key found?: 1
Number of cycles: 399694500; hash_key found?: 1
Number of cycles: 399694027; hash_key found?: 1
Number of cycles: 399694557; hash_key found?: 1
Number of cycles: 399695023; hash_key found?: 1
Number of cycles: 399694912; hash_key found?: 1
Number of cycles: 399696345; hash_key found?: 1
Number of cycles: 399695093; hash_key found?: 1
Number of cycles: 399694052; hash_key found?: 1
Number of cycles: 399694546; hash_key found?: 1
Number of cycles: 399694843; hash_key found?: 1
Number of cycles: 399694421; hash_key found?: 1
Number of cycles: 399694406; hash_key found?: 1
Average: 399694720.000000
Standard deviation: 679.526123

Number of blocks: 6
Number of cycles: 468874393; hash_key found?: 1
Number of cycles: 468875157; hash_key found?: 1
Number of cycles: 468874943; hash_key found?: 1
Number of cycles: 468874795; hash_key found?: 1
Number of cycles: 468874811; hash_key found?: 1
Number of cycles: 468875270; hash_key found?: 1
Number of cycles: 468876092; hash_key found?: 1
Number of cycles: 468875563; hash_key found?: 1
Number of cycles: 468875790; hash_key found?: 1
Number of cycles: 468875225; hash_key found?: 1
Number of cycles: 468874287; hash_key found?: 1
Number of cycles: 468875515; hash_key found?: 1
Number of cycles: 468875855; hash_key found?: 1
Number of cycles: 468873749; hash_key found?: 1
Number of cycles: 468874015; hash_key found?: 1
Number of cycles: 468875273; hash_key found?: 1
Number of cycles: 468875201; hash_key found?: 1
Number of cycles: 468875246; hash_key found?: 1
Number of cycles: 468876016; hash_key found?: 1
Number of cycles: 468874159; hash_key found?: 1
Number of cycles: 468874952; hash_key found?: 1
Number of cycles: 468875085; hash_key found?: 1
Number of cycles: 468876225; hash_key found?: 1
Number of cycles: 468875653; hash_key found?: 1
Number of cycles: 468875452; hash_key found?: 1
Number of cycles: 468875776; hash_key found?: 1
Number of cycles: 468874370; hash_key found?: 1
Number of cycles: 468874688; hash_key found?: 1
Number of cycles: 468876605; hash_key found?: 1
Number of cycles: 468875949; hash_key found?: 1
Average: 468875200.000000
Standard deviation: 686.994629

Number of blocks: 7
Number of cycles: 538002565; hash_key found?: 1
Number of cycles: 538002390; hash_key found?: 1
Number of cycles: 538001991; hash_key found?: 1
Number of cycles: 538001873; hash_key found?: 1
Number of cycles: 538003300; hash_key found?: 1
Number of cycles: 538000859; hash_key found?: 1
Number of cycles: 538002520; hash_key found?: 1
Number of cycles: 538000276; hash_key found?: 1
Number of cycles: 538001112; hash_key found?: 1
Number of cycles: 538001186; hash_key found?: 1
Number of cycles: 538000815; hash_key found?: 1
Number of cycles: 538001230; hash_key found?: 1
Number of cycles: 538001804; hash_key found?: 1
Number of cycles: 538000364; hash_key found?: 1
Number of cycles: 538002077; hash_key found?: 1
Number of cycles: 538001648; hash_key found?: 1
Number of cycles: 538001010; hash_key found?: 1
Number of cycles: 538001375; hash_key found?: 1
Number of cycles: 538000652; hash_key found?: 1
Number of cycles: 538002247; hash_key found?: 1
Number of cycles: 538001222; hash_key found?: 1
Number of cycles: 538001292; hash_key found?: 1
Number of cycles: 537999708; hash_key found?: 1
Number of cycles: 538001164; hash_key found?: 1
Number of cycles: 538001155; hash_key found?: 1
Number of cycles: 538001018; hash_key found?: 1
Number of cycles: 538001759; hash_key found?: 1
Number of cycles: 538001004; hash_key found?: 1
Number of cycles: 538001197; hash_key found?: 1
Number of cycles: 538002336; hash_key found?: 1
Average: 538001536.000000
Standard deviation: 766.843567

Number of blocks: 8
Number of cycles: 607106822; hash_key found?: 1
Number of cycles: 607107733; hash_key found?: 1
Number of cycles: 607106421; hash_key found?: 1
Number of cycles: 607107291; hash_key found?: 1
Number of cycles: 607107179; hash_key found?: 1
Number of cycles: 607106240; hash_key found?: 1
Number of cycles: 607109027; hash_key found?: 1
Number of cycles: 607107248; hash_key found?: 1
Number of cycles: 607108411; hash_key found?: 1
Number of cycles: 607108252; hash_key found?: 1
Number of cycles: 607108309; hash_key found?: 1
Number of cycles: 607106991; hash_key found?: 1
Number of cycles: 607107453; hash_key found?: 1
Number of cycles: 607108568; hash_key found?: 1
Number of cycles: 607107491; hash_key found?: 1
Number of cycles: 607108023; hash_key found?: 1
Number of cycles: 607106018; hash_key found?: 1
Number of cycles: 607107438; hash_key found?: 1
Number of cycles: 607106847; hash_key found?: 1
Number of cycles: 607106741; hash_key found?: 1
Number of cycles: 607108591; hash_key found?: 1
Number of cycles: 607108055; hash_key found?: 1
Number of cycles: 607107095; hash_key found?: 1
Number of cycles: 607107853; hash_key found?: 1
Number of cycles: 607107284; hash_key found?: 1
Number of cycles: 607107564; hash_key found?: 1
Number of cycles: 607107578; hash_key found?: 1
Number of cycles: 607107636; hash_key found?: 1
Number of cycles: 607108773; hash_key found?: 1
Number of cycles: 607106998; hash_key found?: 1
Average: 607107456.000000
Standard deviation: 743.429199

Number of blocks: 9
Number of cycles: 676146697; hash_key found?: 1
Number of cycles: 676146964; hash_key found?: 1
Number of cycles: 676147905; hash_key found?: 1
Number of cycles: 676147125; hash_key found?: 1
Number of cycles: 676147511; hash_key found?: 1
Number of cycles: 676146163; hash_key found?: 1
Number of cycles: 676147670; hash_key found?: 1
Number of cycles: 676146902; hash_key found?: 1
