Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 7397; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7396; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7398; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7397; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7398; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7454; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7395; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7399; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7390; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7396; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7400; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7396; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7397; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7396; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7399; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7399; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7398; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7396; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7402; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7207; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 7398; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 7335.700195
Standard deviation: 91.583527

Number of blocks: 2
Number of cycles: 10892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10940; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10889; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10939; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10893; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10933; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10891; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10882; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10882; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10938; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10700; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10934; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10889; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10944; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10894; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10892; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10890; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 10888; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
