Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 110244; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110249; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110228; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110418; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110428; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110234; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110258; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110238; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110082; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110096; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110290; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110243; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110238; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110231; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 110238; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 110268.429688
Standard deviation: 102.075363

Number of blocks: 40
Number of cycles: 145728; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145747; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145791; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145802; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145311; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145803; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145702; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145970; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145781; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145799; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145729; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145770; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145779; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145796; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145919; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145730; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145551; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145788; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145800; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145781; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145789; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145781; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145983; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145787; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145740; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145546; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145785; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145774; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145800; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 145734; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 145759.859375
Standard deviation: 120.170929

Number of blocks: 50
Number of cycles: 181266; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 181260; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 181218; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
