Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start index: 0; End index: 9; Interval: 1; Number of blocks: 10; Threshold: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 49896030; error_corrected? 1
Number of cycles: 49895911; error_corrected? 1
Number of cycles: 49895675; error_corrected? 1
Number of cycles: 49895617; error_corrected? 1
Number of cycles: 49895484; error_corrected? 1
Number of cycles: 49895741; error_corrected? 1
Number of cycles: 49896163; error_corrected? 1
Number of cycles: 49896569; error_corrected? 1
Number of cycles: 49895227; error_corrected? 1
Number of cycles: 49895910; error_corrected? 1
Number of cycles: 49895434; error_corrected? 1
Average: 49895888.000000
Standard deviation: 400.677429

Faulty block index: 5
Number of cycles: 49904630; error_corrected? 1
Number of cycles: 49905079; error_corrected? 1
Number of cycles: 49905103; error_corrected? 1
Number of cycles: 49904796; error_corrected? 1
Number of cycles: 49904582; error_corrected? 1
Number of cycles: 49904211; error_corrected? 1
Number of cycles: 49904829; error_corrected? 1
Number of cycles: 49904429; error_corrected? 1
Number of cycles: 49904382; error_corrected? 1
Number of cycles: 49904811; error_corrected? 1
Number of cycles: 49904762; error_corrected? 1
Number of cycles: 49905050; error_corrected? 1
Number of cycles: 49904279; error_corrected? 1
Number of cycles: 49904333; error_corrected? 1
Number of cycles: 49905715; error_corrected? 1
Number of cycles: 49904532; error_corrected? 1
Number of cycles: 49904588; error_corrected? 1
Number of cycles: 49904788; error_corrected? 1
Number of cycles: 49904333; error_corrected? 1
Number of cycles: 49904580; error_corrected? 1
Number of cycles: 49904766; error_corrected? 1
Number of cycles: 49904642; error_corrected? 1
Number of cycles: 49904899; error_corrected? 1
Number of cycles: 49903838; error_corrected? 1
Number of cycles: 49904882; error_corrected? 1
Number of cycles: 49905074; error_corrected? 1
Number of cycles: 49904347; error_corrected? 1
Number of cycles: 49905132; error_corrected? 1
Number of cycles: 49905012; error_corrected? 1
Number of cycles: 49904548; error_corrected? 1
Average: 49904696.000000
Standard deviation: 357.428589

Faulty block index: 6
Number of cycles: 49929400; error_corrected? 1
Number of cycles: 49929771; error_corrected? 1
Number of cycles: 49929408; error_corrected? 1
Number of cycles: 49929343; error_corrected? 1
Number of cycles: 49929667; error_corrected? 1
Number of cycles: 49928731; error_corrected? 1
Number of cycles: 49928715; error_corrected? 1
Number of cycles: 49929704; error_corrected? 1
Number of cycles: 49929589; error_corrected? 1
Number of cycles: 49929269; error_corrected? 1
Number of cycles: 49928765; error_corrected? 1
Number of cycles: 49929379; error_corrected? 1
Number of cycles: 49929152; error_corrected? 1
Number of cycles: 49929344; error_corrected? 1
Number of cycles: 49930368; error_corrected? 1
Number of cycles: 49929216; error_corrected? 1
Number of cycles: 49929252; error_corrected? 1
Number of cycles: 49929332; error_corrected? 1
Number of cycles: 49928897; error_corrected? 1
Number of cycles: 49929086; error_corrected? 1
Number of cycles: 49929249; error_corrected? 1
Number of cycles: 49929610; error_corrected? 1
Number of cycles: 49928764; error_corrected? 1
Number of cycles: 49929099; error_corrected? 1
Number of cycles: 49929204; error_corrected? 1
Number of cycles: 49929789; error_corrected? 1
Number of cycles: 49929190; error_corrected? 1
Number of cycles: 49929392; error_corrected? 1
Number of cycles: 49929272; error_corrected? 1
Number of cycles: 49929367; error_corrected? 1
Average: 49929304.000000
Standard deviation: 349.523102

Faulty block index: 7
Number of cycles: 49924918; error_corrected? 1
Number of cycles: 49926027; error_corrected? 1
Number of cycles: 49925636; error_corrected? 1
Number of cycles: 49925639; error_corrected? 1
Number of cycles: 49926195; error_corrected? 1
Number of cycles: 49926345; error_corrected? 1
Number of cycles: 49925091; error_corrected? 1
Number of cycles: 49925571; error_corrected? 1
Number of cycles: 49925782; error_corrected? 1
Number of cycles: 49926167; error_corrected? 1
Number of cycles: 49926588; error_corrected? 1
Number of cycles: 49925726; error_corrected? 1
Number of cycles: 49925367; error_corrected? 1
Number of cycles: 49926422; error_corrected? 1
Number of cycles: 49926258; error_corrected? 1
Number of cycles: 49925801; error_corrected? 1
Number of cycles: 49925879; error_corrected? 1
Number of cycles: 49926040; error_corrected? 1
Number of cycles: 49926318; error_corrected? 1
Number of cycles: 49925900; error_corrected? 1
Number of cycles: 49925694; error_corrected? 1
Number of cycles: 49925307; error_corrected? 1
Number of cycles: 49926102; error_corrected? 1
Number of cycles: 49926430; error_corrected? 1
Number of cycles: 49925609; error_corrected? 1
Number of cycles: 49925911; error_corrected? 1
Number of cycles: 49926151; error_corrected? 1
Number of cycles: 49924951; error_corrected? 1
Number of cycles: 49926006; error_corrected? 1
Number of cycles: 49925885; error_corrected? 1
Average: 49925860.000000
Standard deviation: 422.756042

Faulty block index: 8
Number of cycles: 49921824; error_corrected? 1
Number of cycles: 49921397; error_corrected? 1
Number of cycles: 49921595; error_corrected? 1
Number of cycles: 49921842; error_corrected? 1
Number of cycles: 49921374; error_corrected? 1
Number of cycles: 49921183; error_corrected? 1
Number of cycles: 49922269; error_corrected? 1
Number of cycles: 49921495; error_corrected? 1
Number of cycles: 49921251; error_corrected? 1
Number of cycles: 49921913; error_corrected? 1
Number of cycles: 49921717; error_corrected? 1
Number of cycles: 49921544; error_corrected? 1
Number of cycles: 49921812; error_corrected? 1
Number of cycles: 49922151; error_corrected? 1
Number of cycles: 49921476; error_corrected? 1
Number of cycles: 49921099; error_corrected? 1
Number of cycles: 49921544; error_corrected? 1
Number of cycles: 49921483; error_corrected? 1
Number of cycles: 49921837; error_corrected? 1
Number of cycles: 49921683; error_corrected? 1
Number of cycles: 49921408; error_corrected? 1
Number of cycles: 49921521; error_corrected? 1
Number of cycles: 49921163; error_corrected? 1
Number of cycles: 49921363; error_corrected? 1
Number of cycles: 49921347; error_corrected? 1
Number of cycles: 49922169; error_corrected? 1
Number of cycles: 49921596; error_corrected? 1
Number of cycles: 49921848; error_corrected? 1
Number of cycles: 49921000; error_corrected? 1
Number of cycles: 49921611; error_corrected? 1
Average: 49921584.000000
Standard deviation: 308.126373

Faulty block index: 9
Number of cycles: 49976100; error_corrected? 1
Number of cycles: 49975347; error_corrected? 1
Number of cycles: 49975935; error_corrected? 1
Number of cycles: 49977268; error_corrected? 1
Number of cycles: 49976205; error_corrected? 1
Number of cycles: 49976500; error_corrected? 1
Number of cycles: 49976815; error_corrected? 1
Number of cycles: 49976600; error_corrected? 1
Number of cycles: 49976221; error_corrected? 1
Number of cycles: 49976674; error_corrected? 1
Number of cycles: 49976048; error_corrected? 1
Number of cycles: 49976494; error_corrected? 1
Number of cycles: 49975478; error_corrected? 1
Number of cycles: 49975914; error_corrected? 1
Number of cycles: 49976190; error_corrected? 1
Number of cycles: 49976053; error_corrected? 1
Number of cycles: 49976474; error_corrected? 1
Number of cycles: 49975344; error_corrected? 1
Number of cycles: 49975865; error_corrected? 1
Number of cycles: 49976437; error_corrected? 1
Number of cycles: 49976727; error_corrected? 1
Number of cycles: 49975904; error_corrected? 1
Number of cycles: 49976102; error_corrected? 1
Number of cycles: 49976279; error_corrected? 1
Number of cycles: 49976350; error_corrected? 1
Number of cycles: 49976146; error_corrected? 1
Number of cycles: 49976059; error_corrected? 1
Number of cycles: 49976184; error_corrected? 1
Number of cycles: 49976202; error_corrected? 1
Number of cycles: 49976859; error_corrected? 1
Average: 49976228.000000
Standard deviation: 422.374237


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:581
warning: Source file is more recent than executable.
581	  while (true) {
