Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 45097568; error? 1
Number of cycles: 45097933; error? 1
Number of cycles: 45097680; error? 1
Number of cycles: 45097709; error? 1
Number of cycles: 45096983; error? 1
Number of cycles: 45097268; error? 1
Number of cycles: 45097545; error? 1
Number of cycles: 45097242; error? 1
Number of cycles: 45097291; error? 1
Average: 45097396.000000
Standard deviation: 342.825134

Number of blocks: 7
Number of cycles: 46022975; error? 1
Number of cycles: 46022554; error? 1
Number of cycles: 46022900; error? 1
Number of cycles: 46022724; error? 1
Number of cycles: 46022807; error? 1
Number of cycles: 46022945; error? 1
Number of cycles: 46023253; error? 1
Number of cycles: 46022839; error? 1
Number of cycles: 46022651; error? 1
Number of cycles: 46022914; error? 1
Number of cycles: 46022982; error? 1
Number of cycles: 46023034; error? 1
Number of cycles: 46023136; error? 1
Number of cycles: 46022961; error? 1
Number of cycles: 46023049; error? 1
Number of cycles: 46023156; error? 1
Number of cycles: 46023128; error? 1
Number of cycles: 46022709; error? 1
Number of cycles: 46022900; error? 1
Number of cycles: 46022978; error? 1
Number of cycles: 46023711; error? 1
Number of cycles: 46022485; error? 1
Number of cycles: 46022714; error? 1
Number of cycles: 46023343; error? 1
Number of cycles: 46023437; error? 1
Number of cycles: 46022796; error? 1
Number of cycles: 46022671; error? 1
Number of cycles: 46023130; error? 1
Number of cycles: 46022760; error? 1
Number of cycles: 46023099; error? 1
Average: 46022956.000000
Standard deviation: 261.400330

Number of blocks: 8
Number of cycles: 46924418; error? 1
Number of cycles: 46924507; error? 1
Number of cycles: 46924706; error? 1
Number of cycles: 46924647; error? 1
Number of cycles: 46924322; error? 1
Number of cycles: 46924413; error? 1
Number of cycles: 46924632; error? 1
Number of cycles: 46924539; error? 1
Number of cycles: 46924824; error? 1
Number of cycles: 46924706; error? 1
Number of cycles: 46924189; error? 1
Number of cycles: 46924056; error? 1
Number of cycles: 46924173; error? 1
Number of cycles: 46924427; error? 1
Number of cycles: 46924797; error? 1
Number of cycles: 46924254; error? 1
Number of cycles: 46923877; error? 1
Number of cycles: 46924463; error? 1
Number of cycles: 46924496; error? 1
Number of cycles: 46924647; error? 1
Number of cycles: 46924696; error? 1
Number of cycles: 46924044; error? 1
Number of cycles: 46924792; error? 1
Number of cycles: 46924047; error? 1
Number of cycles: 46924471; error? 1
Number of cycles: 46924293; error? 1
Number of cycles: 46924374; error? 1
Number of cycles: 46924517; error? 1
Number of cycles: 46924012; error? 1
Number of cycles: 46924450; error? 1
Average: 46924424.000000
Standard deviation: 252.737549

Number of blocks: 9
Number of cycles: 47782230; error? 1
Number of cycles: 47782170; error? 1
Number of cycles: 47782261; error? 1
Number of cycles: 47782491; error? 1
Number of cycles: 47782244; error? 1
Number of cycles: 47782812; error? 1
Number of cycles: 47782389; error? 1
Number of cycles: 47782465; error? 1
Number of cycles: 47782934; error? 1
Number of cycles: 47782638; error? 1
Number of cycles: 47782366; error? 1
Number of cycles: 47782340; error? 1
Number of cycles: 47782040; error? 1
Number of cycles: 47782298; error? 1
Number of cycles: 47782527; error? 1
Number of cycles: 47782518; error? 1
Number of cycles: 47782479; error? 1
Number of cycles: 47782064; error? 1
Number of cycles: 47782514; error? 1
Number of cycles: 47782543; error? 1
Number of cycles: 47782299; error? 1
Number of cycles: 47781998; error? 1
Number of cycles: 47782432; error? 1
Number of cycles: 47782496; error? 1
Number of cycles: 47782285; error? 1
Number of cycles: 47782564; error? 1
Number of cycles: 47782555; error? 1
Number of cycles: 47782518; error? 1
Number of cycles: 47781996; error? 1
Number of cycles: 47782372; error? 1
Average: 47782396.000000
Standard deviation: 216.357727

Number of blocks: 10
Number of cycles: 48683849; error? 1
Number of cycles: 48684175; error? 1
Number of cycles: 48683976; error? 1
Number of cycles: 48683359; error? 1
Number of cycles: 48684012; error? 1
Number of cycles: 48683741; error? 1
Number of cycles: 48683516; error? 1
Number of cycles: 48684131; error? 1
Number of cycles: 48683515; error? 1
Number of cycles: 48684137; error? 1
Number of cycles: 48684486; error? 1
Number of cycles: 48683970; error? 1
Number of cycles: 48684241; error? 1
Number of cycles: 48683804; error? 1
Number of cycles: 48683708; error? 1
Number of cycles: 48683654; error? 1
Number of cycles: 48683814; error? 1
Number of cycles: 48684355; error? 1
Number of cycles: 48683491; error? 1
Number of cycles: 48684022; error? 1
Number of cycles: 48683890; error? 1
Number of cycles: 48683454; error? 1
Number of cycles: 48683903; error? 1
Number of cycles: 48683751; error? 1
Number of cycles: 48684090; error? 1
Number of cycles: 48684253; error? 1
Number of cycles: 48684019; error? 1
Number of cycles: 48683933; error? 1
Number of cycles: 48683772; error? 1
Number of cycles: 48683948; error? 1
Average: 48683896.000000
Standard deviation: 270.807190


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:471
471	  while (true) {
Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 40659447; error? 1
Number of cycles: 40658753; error? 1
Number of cycles: 40659319; error? 1
Number of cycles: 40659467; error? 1
Number of cycles: 40659411; error? 1
Number of cycles: 40658433; error? 1
Number of cycles: 40659320; error? 1
Number of cycles: 40659081; error? 1
Number of cycles: 40659047; error? 1
Number of cycles: 40659300; error? 1
Number of cycles: 40658838; error? 1
Number of cycles: 40658958; error? 1
Number of cycles: 40658499; error? 1
Number of cycles: 40659146; error? 1
Number of cycles: 40659380; error? 1
Number of cycles: 40659253; error? 1
Number of cycles: 40659243; error? 1
Number of cycles: 40659313; error? 1
Number of cycles: 40658610; error? 1
Number of cycles: 40658878; error? 1
Number of cycles: 40659478; error? 1
Number of cycles: 40659627; error? 1
Number of cycles: 40659126; error? 1
Number of cycles: 40659717; error? 1
Number of cycles: 40659590; error? 1
Number of cycles: 40659170; error? 1
Number of cycles: 40659083; error? 1
Number of cycles: 40658784; error? 1
Number of cycles: 40658576; error? 1
Number of cycles: 40659153; error? 1
Average: 40659136.000000
Standard deviation: 334.748474

Number of blocks: 2
Number of cycles: 41533265; error? 1
Number of cycles: 41532400; error? 1
Number of cycles: 41532660; error? 1
Number of cycles: 41533474; error? 1
Number of cycles: 41532866; error? 1
Number of cycles: 41532272; error? 1
Number of cycles: 41532885; error? 1
Number of cycles: 41532902; error? 1
Number of cycles: 41532388; error? 1
Number of cycles: 41532711; error? 1
Number of cycles: 41532634; error? 1
Number of cycles: 41533145; error? 1
Number of cycles: 41532891; error? 1
Number of cycles: 41533098; error? 1
Number of cycles: 41532627; error? 1
Number of cycles: 41532922; error? 1
