Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 1220579; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220679; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220564; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220759; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220595; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220589; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220392; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220596; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220427; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220629; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220375; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220583; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220454; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220592; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1220576; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 1220560.250000
Standard deviation: 92.896339

Number of blocks: 4
Number of cycles: 1543564; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543288; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543229; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543483; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543228; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543408; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543269; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543379; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543441; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543442; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543361; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543344; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543234; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543152; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543435; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543428; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543211; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543476; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543188; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543236; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543451; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543214; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543363; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543458; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543448; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
