Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Number of blocks: 4; Measurements per threshold: 30

Threshold: 1
Number of cycles: 43379073; error_corrected? 1
Number of cycles: 43378915; error_corrected? 1
Number of cycles: 43379206; error_corrected? 1
Number of cycles: 43378886; error_corrected? 1
Number of cycles: 43379057; error_corrected? 1
Number of cycles: 43378313; error_corrected? 1
Number of cycles: 43379092; error_corrected? 1
Number of cycles: 43378735; error_corrected? 1
Number of cycles: 43379402; error_corrected? 1
Number of cycles: 43378724; error_corrected? 1
Average: 43378904.000000
Standard deviation: 252.038086

Threshold: 6
Number of cycles: 43384252; error_corrected? 1
Number of cycles: 43384645; error_corrected? 1
Number of cycles: 43384869; error_corrected? 1
Number of cycles: 43384876; error_corrected? 1
Number of cycles: 43384894; error_corrected? 1
Number of cycles: 43384604; error_corrected? 1
Number of cycles: 43384834; error_corrected? 1
Number of cycles: 43385325; error_corrected? 1
Number of cycles: 43384846; error_corrected? 1
Number of cycles: 43384489; error_corrected? 1
Number of cycles: 43384857; error_corrected? 1
Number of cycles: 43384334; error_corrected? 1
Number of cycles: 43384979; error_corrected? 1
Number of cycles: 43384476; error_corrected? 1
Number of cycles: 43384519; error_corrected? 1
Number of cycles: 43384553; error_corrected? 1
Number of cycles: 43384919; error_corrected? 1
Number of cycles: 43384835; error_corrected? 1
Number of cycles: 43384745; error_corrected? 1
Number of cycles: 43384660; error_corrected? 1
Number of cycles: 43384873; error_corrected? 1
Number of cycles: 43385017; error_corrected? 1
Number of cycles: 43384616; error_corrected? 1
Number of cycles: 43384766; error_corrected? 1
Number of cycles: 43384285; error_corrected? 1
Number of cycles: 43384859; error_corrected? 1
Number of cycles: 43385114; error_corrected? 1
Number of cycles: 43384906; error_corrected? 1
Number of cycles: 43384520; error_corrected? 1
Number of cycles: 43384941; error_corrected? 1
Average: 43384752.000000
Standard deviation: 242.947449

Threshold: 7
Number of cycles: 43390869; error_corrected? 1
Number of cycles: 43390896; error_corrected? 1
Number of cycles: 43390712; error_corrected? 1
Number of cycles: 43390912; error_corrected? 1
Number of cycles: 43391023; error_corrected? 1
Number of cycles: 43391119; error_corrected? 1
Number of cycles: 43390725; error_corrected? 1
Number of cycles: 43391155; error_corrected? 1
Number of cycles: 43391062; error_corrected? 1
Number of cycles: 43390551; error_corrected? 1
Number of cycles: 43390982; error_corrected? 1
Number of cycles: 43391037; error_corrected? 1
Number of cycles: 43390729; error_corrected? 1
Number of cycles: 43391364; error_corrected? 1
Number of cycles: 43390999; error_corrected? 1
Number of cycles: 43390706; error_corrected? 1
Number of cycles: 43390936; error_corrected? 1
Number of cycles: 43391024; error_corrected? 1
Number of cycles: 43391096; error_corrected? 1
Number of cycles: 43390570; error_corrected? 1
Number of cycles: 43391149; error_corrected? 1
Number of cycles: 43391252; error_corrected? 1
Number of cycles: 43391114; error_corrected? 1
Number of cycles: 43390401; error_corrected? 1
Number of cycles: 43390705; error_corrected? 1
Number of cycles: 43391145; error_corrected? 1
Number of cycles: 43390543; error_corrected? 1
Number of cycles: 43390601; error_corrected? 1
Number of cycles: 43391043; error_corrected? 1
Number of cycles: 43390727; error_corrected? 1
Average: 43390908.000000
Standard deviation: 236.216843

Threshold: 8
Number of cycles: 43397942; error_corrected? 1
Number of cycles: 43398404; error_corrected? 1
Number of cycles: 43398607; error_corrected? 1
Number of cycles: 43398601; error_corrected? 1
Number of cycles: 43398673; error_corrected? 1
Number of cycles: 43397738; error_corrected? 1
Number of cycles: 43398729; error_corrected? 1
Number of cycles: 43398246; error_corrected? 1
Number of cycles: 43398106; error_corrected? 1
Number of cycles: 43398313; error_corrected? 1
Number of cycles: 43398005; error_corrected? 1
Number of cycles: 43398275; error_corrected? 1
Number of cycles: 43398461; error_corrected? 1
Number of cycles: 43397922; error_corrected? 1
Number of cycles: 43398564; error_corrected? 1
Number of cycles: 43398679; error_corrected? 1
Number of cycles: 43398436; error_corrected? 1
Number of cycles: 43398044; error_corrected? 1
Number of cycles: 43398311; error_corrected? 1
Number of cycles: 43398259; error_corrected? 1
Number of cycles: 43398389; error_corrected? 1
Number of cycles: 43398472; error_corrected? 1
Number of cycles: 43398072; error_corrected? 1
Number of cycles: 43398567; error_corrected? 1
Number of cycles: 43398005; error_corrected? 1
