Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 16618; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16574; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16755; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16575; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16752; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16566; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16572; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16808; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16753; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16757; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16568; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16574; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16759; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16615; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16806; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16573; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16573; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16573; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16564; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16571; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16618; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16752; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16760; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16573; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
