Loading section .text, size 0xe2e4 lma 0x80000
Loading section .ARM.exidx, size 0x8 lma 0x8e2e4
Loading section .relocate, size 0xa80 lma 0x8e2ec
Start address 0x000831e4, load size 60780
Transfer rate: 10 KB/sec, 10130 bytes/write.
Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 1221376; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221420; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221356; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221366; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221371; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221283; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221170; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221350; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221112; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221162; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221395; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221401; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221377; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221361; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221157; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221307; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221169; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1221094; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 1221305.375000
Standard deviation: 102.016571

Number of blocks: 4
Number of cycles: 1544508; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544189; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544143; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544185; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544222; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544205; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543942; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543939; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544230; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543959; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544210; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544209; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544113; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544206; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544218; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544197; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544147; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544146; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544119; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544203; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544135; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544230; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1543999; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544159; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544184; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544167; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544551; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1544014; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 1544170.875000
Standard deviation: 128.295944

Number of blocks: 5
Number of cycles: 1856122; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856390; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856320; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856367; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856275; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856113; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856310; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856096; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856316; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856245; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856249; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856268; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856135; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856216; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856255; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856288; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856219; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856068; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856276; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856145; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856164; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856576; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856297; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856280; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856332; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856348; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856051; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856334; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 1856284; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 1856255.375000
Standard deviation: 108.433487

Number of blocks: 6
Number of cycles: 2164569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164362; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164681; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164471; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164293; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164373; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164530; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164491; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164924; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164442; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164267; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164297; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164580; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 2164436; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
