Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf
Start: 1; End: 10; Interval: 1; Affected blocks: 0; Measurements per block: 30

Number of blocks: 1
Number of cycles: 33041; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32993; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32993; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32812; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32809; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32994; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32999; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 33039; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32995; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32997; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 33040; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32997; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32986; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32991; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 32808; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 32956.699219
Standard deviation: 95.639656

Number of blocks: 4
Number of cycles: 40953; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40952; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41129; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40941; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41179; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40997; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40993; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41136; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40942; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41191; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41171; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41181; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41129; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40942; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40949; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40988; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40946; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41184; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40931; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40943; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40946; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40946; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40945; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40995; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41132; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41003; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 40941; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 41131; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 41023.398438
Standard deviation: 96.891205

Number of blocks: 5
Number of cycles: 49318; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49120; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49083; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49130; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49137; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49084; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49132; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49262; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49140; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49072; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49081; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49129; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49134; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49135; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49132; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49136; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49080; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 49083; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
