Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 3339386; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339458; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339302; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339362; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339386; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339629; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339328; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339590; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339369; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339256; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339283; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339360; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339337; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339570; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339431; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339786; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339340; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339460; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339548; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339545; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339628; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339297; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339428; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339445; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339306; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339614; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339418; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339438; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339252; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 3339332; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 3339429.250000
Standard deviation: 129.196594

Number of blocks: 20
Number of cycles: 6712642; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712413; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712257; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712203; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712609; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712354; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712490; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712414; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712697; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712311; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712592; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712548; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712353; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712386; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712319; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712661; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712269; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712546; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712521; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712529; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712837; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712564; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712650; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712405; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712441; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712669; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712684; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712279; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712516; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 6712600; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Average: 6712491.500000
Standard deviation: 155.272171

Number of blocks: 30
Number of cycles: 9776848; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776632; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776796; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776825; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776915; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776731; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776369; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776304; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9777068; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776764; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776458; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776673; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776615; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776977; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776791; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776599; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776546; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776734; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9777009; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776678; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
Number of cycles: 9776644; correction_successful? 1; one_bit_err? 0; two_bit_err? 0
