Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 44023754; error? 1
Number of cycles: 44023830; error? 1
Number of cycles: 44024286; error? 1
Number of cycles: 44024218; error? 1
Number of cycles: 44024129; error? 1
Number of cycles: 44023750; error? 1
Number of cycles: 44024369; error? 1
Number of cycles: 44023970; error? 1
Number of cycles: 44023999; error? 1
Number of cycles: 44023725; error? 1
Number of cycles: 44023786; error? 1
Number of cycles: 44024296; error? 1
Number of cycles: 44024057; error? 1
Number of cycles: 44024008; error? 1
Number of cycles: 44024405; error? 1
Number of cycles: 44024179; error? 1
Number of cycles: 44023784; error? 1
Number of cycles: 44023961; error? 1
Number of cycles: 44023708; error? 1
Number of cycles: 44023583; error? 1
Number of cycles: 44024335; error? 1
Number of cycles: 44023745; error? 1
Number of cycles: 44023848; error? 1
Number of cycles: 44024101; error? 1
Number of cycles: 44024153; error? 1
Average: 44023948.000000
Standard deviation: 265.571075

Number of blocks: 5
Number of cycles: 45065349; error? 1
Number of cycles: 45065342; error? 1
Number of cycles: 45065246; error? 1
Number of cycles: 45066048; error? 1
Number of cycles: 45065598; error? 1
Number of cycles: 45065097; error? 1
Number of cycles: 45065303; error? 1
Number of cycles: 45065671; error? 1
Number of cycles: 45064755; error? 1
Number of cycles: 45065288; error? 1
Number of cycles: 45065748; error? 1
Number of cycles: 45065260; error? 1
Number of cycles: 45065637; error? 1
Number of cycles: 45065547; error? 1
Number of cycles: 45065263; error? 1
Number of cycles: 45065697; error? 1
Number of cycles: 45065429; error? 1
Number of cycles: 45065723; error? 1
Number of cycles: 45065383; error? 1
Number of cycles: 45065021; error? 1
Number of cycles: 45065023; error? 1
Number of cycles: 45065345; error? 1
Number of cycles: 45064978; error? 1
Number of cycles: 45065282; error? 1
Number of cycles: 45064835; error? 1
Number of cycles: 45065056; error? 1
Number of cycles: 45064759; error? 1
Number of cycles: 45065512; error? 1
Number of cycles: 45065894; error? 1
Number of cycles: 45065038; error? 1
Number of cycles: 45065139; error? 1
Number of cycles: 45065604; error? 1
Number of cycles: 45065035; error? 1
Number of cycles: 45064876; error? 1
Number of cycles: 45065001; error? 1
Number of cycles: 45065616; error? 1
Number of cycles: 45065220; error? 1
Number of cycles: 45065436; error? 1
Number of cycles: 45065579; error? 1
Number of cycles: 45065497; error? 1
Number of cycles: 45065369; error? 1
Number of cycles: 45065246; error? 1
Number of cycles: 45065129; error? 1
Number of cycles: 45065324; error? 1
Number of cycles: 45065526; error? 1
Number of cycles: 45065505; error? 1
Number of cycles: 45065480; error? 1
Number of cycles: 45065669; error? 1
Number of cycles: 45065339; error? 1
Number of cycles: 45065259; error? 1
Average: 45065328.000000
Standard deviation: 286.206085

Number of blocks: 6
Number of cycles: 46119482; error? 1
Number of cycles: 46119375; error? 1
Number of cycles: 46119303; error? 1
Number of cycles: 46119503; error? 1
Number of cycles: 46119331; error? 1
Number of cycles: 46118904; error? 1
Number of cycles: 46119242; error? 1
Number of cycles: 46119854; error? 1
Number of cycles: 46119483; error? 1
Number of cycles: 46119514; error? 1
Number of cycles: 46119392; error? 1
Number of cycles: 46119377; error? 1
Number of cycles: 46119104; error? 1
Number of cycles: 46119710; error? 1
Number of cycles: 46119261; error? 1
Number of cycles: 46119650; error? 1
Number of cycles: 46119231; error? 1
Number of cycles: 46119050; error? 1
Number of cycles: 46118760; error? 1
Number of cycles: 46119975; error? 1
Number of cycles: 46119280; error? 1
Number of cycles: 46119491; error? 1
Number of cycles: 46119360; error? 1
Number of cycles: 46119007; error? 1
Number of cycles: 46119449; error? 1
Number of cycles: 46119504; error? 1
Number of cycles: 46119431; error? 1
Number of cycles: 46119361; error? 1
Number of cycles: 46119696; error? 1
Number of cycles: 46118388; error? 1
Number of cycles: 46119609; error? 1
Number of cycles: 46119518; error? 1
Number of cycles: 46119197; error? 1
Number of cycles: 46119222; error? 1
Number of cycles: 46118971; error? 1
Number of cycles: 46119221; error? 1
Number of cycles: 46119580; error? 1
Number of cycles: 46119187; error? 1
Number of cycles: 46119582; error? 1
Number of cycles: 46119532; error? 1
Number of cycles: 46119403; error? 1
Number of cycles: 46119327; error? 1
Number of cycles: 46119070; error? 1
Number of cycles: 46119764; error? 1
Number of cycles: 46119274; error? 1
Number of cycles: 46119633; error? 1
Number of cycles: 46119627; error? 1
Number of cycles: 46119065; error? 1
Number of cycles: 46118986; error? 1
Number of cycles: 46119316; error? 1
Average: 46119348.000000
Standard deviation: 283.287567

Number of blocks: 7
Number of cycles: 47228565; error? 1
Number of cycles: 47228492; error? 1
Number of cycles: 47228290; error? 1
Number of cycles: 47228799; error? 1
Number of cycles: 47227960; error? 1
Number of cycles: 47228776; error? 1
Number of cycles: 47228333; error? 1
Number of cycles: 47228366; error? 1
Number of cycles: 47229121; error? 1
Number of cycles: 47228378; error? 1
Number of cycles: 47228211; error? 1
Number of cycles: 47228588; error? 1
Number of cycles: 47228480; error? 1
Number of cycles: 47228830; error? 1
Number of cycles: 47228693; error? 1
Number of cycles: 47228581; error? 1
Number of cycles: 47228985; error? 1
Number of cycles: 47228765; error? 1
Number of cycles: 47228623; error? 1
Number of cycles: 47228470; error? 1
Number of cycles: 47228746; error? 1
Number of cycles: 47228775; error? 1
Number of cycles: 47228221; error? 1
Number of cycles: 47228664; error? 1
Number of cycles: 47228704; error? 1
Number of cycles: 47228347; error? 1
Number of cycles: 47228429; error? 1
Number of cycles: 47228588; error? 1
Number of cycles: 47228520; error? 1
Number of cycles: 47229071; error? 1
Number of cycles: 47229035; error? 1
Number of cycles: 47228089; error? 1
Number of cycles: 47228496; error? 1
Number of cycles: 47228676; error? 1
Number of cycles: 47227839; error? 1
Number of cycles: 47228662; error? 1
Number of cycles: 47228734; error? 1
Number of cycles: 47228717; error? 1
Number of cycles: 47228836; error? 1
Number of cycles: 47228446; error? 1
Number of cycles: 47228137; error? 1
Number of cycles: 47228326; error? 1
Number of cycles: 47228597; error? 1
Number of cycles: 47228700; error? 1
Number of cycles: 47228658; error? 1
Number of cycles: 47228418; error? 1
Number of cycles: 47228473; error? 1
Number of cycles: 47228877; error? 1
Number of cycles: 47228841; error? 1
Number of cycles: 47228895; error? 1
Average: 47228568.000000
Standard deviation: 272.053528

Number of blocks: 8
Number of cycles: 48309973; error? 1
Number of cycles: 48310155; error? 1
Number of cycles: 48310292; error? 1
Number of cycles: 48310057; error? 1
Number of cycles: 48309986; error? 1
Number of cycles: 48310046; error? 1
Number of cycles: 48310391; error? 1
Number of cycles: 48309808; error? 1
Number of cycles: 48310077; error? 1
Number of cycles: 48310302; error? 1
Number of cycles: 48310201; error? 1
Number of cycles: 48310582; error? 1
Number of cycles: 48309853; error? 1
Number of cycles: 48310461; error? 1
Number of cycles: 48310396; error? 1
Number of cycles: 48310051; error? 1
Number of cycles: 48310485; error? 1
Number of cycles: 48310015; error? 1
Number of cycles: 48310046; error? 1
Number of cycles: 48310409; error? 1
Number of cycles: 48310530; error? 1
Number of cycles: 48310180; error? 1
Number of cycles: 48310007; error? 1
Number of cycles: 48310544; error? 1
Number of cycles: 48310476; error? 1
Number of cycles: 48310372; error? 1
Number of cycles: 48309730; error? 1
Number of cycles: 48310289; error? 1
Number of cycles: 48310135; error? 1
Number of cycles: 48310569; error? 1
Number of cycles: 48310193; error? 1
Number of cycles: 48310068; error? 1
Number of cycles: 48310180; error? 1
Number of cycles: 48310670; error? 1
Number of cycles: 48310063; error? 1
Number of cycles: 48310075; error? 1
Number of cycles: 48310042; error? 1
Number of cycles: 48309901; error? 1
Number of cycles: 48310183; error? 1
Number of cycles: 48310383; error? 1
Number of cycles: 48310154; error? 1
Number of cycles: 48310063; error? 1
Number of cycles: 48310249; error? 1
Number of cycles: 48310095; error? 1
Number of cycles: 48310357; error? 1
Number of cycles: 48310416; error? 1
Number of cycles: 48310162; error? 1
Number of cycles: 48310496; error? 1
Number of cycles: 48310678; error? 1
Number of cycles: 48310063; error? 1
Average: 48310216.000000
Standard deviation: 225.254349

Number of blocks: 9
Number of cycles: 49351286; error? 1
Number of cycles: 49351287; error? 1
Number of cycles: 49351294; error? 1
Number of cycles: 49351277; error? 1
Number of cycles: 49351150; error? 1
Number of cycles: 49351363; error? 1
Number of cycles: 49351091; error? 1
Number of cycles: 49351376; error? 1
Number of cycles: 49351211; error? 1
Number of cycles: 49351309; error? 1
Number of cycles: 49351287; error? 1
Number of cycles: 49351104; error? 1
Number of cycles: 49350991; error? 1
Number of cycles: 49350948; error? 1
Number of cycles: 49351248; error? 1
Number of cycles: 49351216; error? 1
Number of cycles: 49351134; error? 1
Number of cycles: 49351123; error? 1
Number of cycles: 49350784; error? 1
Number of cycles: 49351148; error? 1
Number of cycles: 49351323; error? 1
Number of cycles: 49350988; error? 1
Number of cycles: 49350837; error? 1
Number of cycles: 49351203; error? 1
Number of cycles: 49351236; error? 1
Number of cycles: 49351602; error? 1
Number of cycles: 49351116; error? 1
Number of cycles: 49351667; error? 1
Number of cycles: 49350550; error? 1
Number of cycles: 49351316; error? 1
Number of cycles: 49351351; error? 1
Number of cycles: 49350924; error? 1
Number of cycles: 49351488; error? 1
Number of cycles: 49350936; error? 1
Number of cycles: 49351132; error? 1
Number of cycles: 49350964; error? 1
Number of cycles: 49351116; error? 1
Number of cycles: 49351228; error? 1
Number of cycles: 49350759; error? 1
Number of cycles: 49351415; error? 1
Number of cycles: 49351410; error? 1
Number of cycles: 49351255; error? 1
Number of cycles: 49351103; error? 1
Number of cycles: 49350980; error? 1
Number of cycles: 49351574; error? 1
Number of cycles: 49351076; error? 1
Number of cycles: 49351173; error? 1
Number of cycles: 49351021; error? 1
Number of cycles: 49350676; error? 1
Number of cycles: 49350983; error? 1
Average: 49351156.000000
Standard deviation: 225.395645

Number of blocks: 10
Number of cycles: 50432881; error? 1
Number of cycles: 50432667; error? 1
Number of cycles: 50432341; error? 1
Number of cycles: 50432736; error? 1
Number of cycles: 50433000; error? 1
Number of cycles: 50432562; error? 1
Number of cycles: 50432679; error? 1
Number of cycles: 50432709; error? 1
Number of cycles: 50433151; error? 1
Number of cycles: 50432773; error? 1
Number of cycles: 50432631; error? 1
Number of cycles: 50432838; error? 1
Number of cycles: 50433013; error? 1
Number of cycles: 50432550; error? 1
Number of cycles: 50432698; error? 1
Number of cycles: 50432766; error? 1
Number of cycles: 50432984; error? 1
Number of cycles: 50433018; error? 1
Number of cycles: 50433219; error? 1
Number of cycles: 50432660; error? 1
Number of cycles: 50432500; error? 1
Number of cycles: 50432421; error? 1
Number of cycles: 50432364; error? 1
Number of cycles: 50432445; error? 1
Number of cycles: 50433247; error? 1
Number of cycles: 50432672; error? 1
Number of cycles: 50432865; error? 1
Number of cycles: 50432947; error? 1
Number of cycles: 50432534; error? 1
Number of cycles: 50432575; error? 1
Number of cycles: 50433181; error? 1
Number of cycles: 50433059; error? 1
Number of cycles: 50433083; error? 1
Number of cycles: 50432994; error? 1
Number of cycles: 50432894; error? 1
Number of cycles: 50432982; error? 1
Number of cycles: 50432977; error? 1
Number of cycles: 50432427; error? 1
Number of cycles: 50432828; error? 1
Number of cycles: 50432640; error? 1
Number of cycles: 50432330; error? 1
Number of cycles: 50432814; error? 1
Number of cycles: 50432956; error? 1
Number of cycles: 50432653; error? 1
Number of cycles: 50432888; error? 1
Number of cycles: 50433236; error? 1
Number of cycles: 50432473; error? 1
Number of cycles: 50432943; error? 1
Number of cycles: 50432763; error? 1
Number of cycles: 50432820; error? 1
Average: 50432784.000000
Standard deviation: 244.225464


Program received signal SIGINT, Interrupt.
main () at main_cw521.c:471
471	  while (true) {
