Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 1201392; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201591; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201359; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201350; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201441; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201363; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201393; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201650; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201399; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201419; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201359; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201364; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201446; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201605; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1201469; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 1201470.375000
Standard deviation: 112.319046

Number of blocks: 4
Number of cycles: 1518755; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518952; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518839; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519001; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518973; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518987; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519010; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518769; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1519006; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 1518853; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
