Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 28135; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28133; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28137; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27998; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27950; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27941; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28134; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28138; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27950; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27949; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28128; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28126; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27941; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27947; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27949; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 28025.500000
Standard deviation: 97.206566

Number of blocks: 4
Number of cycles: 34915; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34769; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34950; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34912; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34726; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34961; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34722; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34970; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34962; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34723; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34716; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34775; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34904; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34655; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34914; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34913; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
