Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 0; End: 9; Interval: 1; Number of blocks: 10; Number of affected blocks: 1; Measurements per faulty block: 30

Faulty block index: 0
Number of cycles: 3356878; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357097; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356851; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356833; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356726; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357006; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356863; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356783; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357045; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356933; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357401; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356910; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356990; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357051; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357006; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357385; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357058; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Average: 3356973.000000
Standard deviation: 170.940933

Faulty block index: 3
Number of cycles: 3356931; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356694; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357058; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357066; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356880; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357086; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357117; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356946; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3356995; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357114; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
Number of cycles: 3357376; correction_successful? 0; one_bit_err? 0; two_bit_err? 1
