Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 16568; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16574; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16618; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16805; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16576; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16626; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16752; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16811; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16574; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16758; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16616; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16567; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16565; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16572; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16568; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16756; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16565; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16812; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16765; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16754; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16619; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16753; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16565; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16618; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16759; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16572; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 16568; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 16645.232422
Standard deviation: 92.858910

Number of blocks: 2
Number of cycles: 24892; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24702; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24944; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24704; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24703; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24704; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24708; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24712; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24697; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24887; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24710; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24706; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24761; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24706; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24706; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24759; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24704; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24707; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24707; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24751; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24705; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24709; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24708; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24758; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24703; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24762; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24705; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24715; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24710; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 24705; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 24735.000000
Standard deviation: 61.310143

Number of blocks: 3
Number of cycles: 32893; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32652; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32657; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32659; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32897; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32898; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32709; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32846; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32890; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32887; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32842; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32891; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 32843; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
