Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 203182; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203706; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203518; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203198; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 202998; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203493; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203596; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203443; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203200; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203452; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203517; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203270; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203324; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203293; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 203179; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 203320.968750
Standard deviation: 172.869400

Number of blocks: 40
Number of cycles: 272897; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273025; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273504; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272679; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273223; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272900; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273068; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273117; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272952; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273012; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273345; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273235; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273020; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272988; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273451; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273260; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273533; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273140; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273230; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273475; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273079; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272729; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272918; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273208; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273073; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273704; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273437; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 273039; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272912; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 272941; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 273136.468750
Standard deviation: 241.690262

Number of blocks: 50
Number of cycles: 342636; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342987; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 342962; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 343595; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
