Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 28138; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28140; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27955; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28137; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28140; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28145; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27953; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27954; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27955; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28003; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27959; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28009; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28134; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 27950; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 28146; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 28019.767578
Standard deviation: 112.518051

Number of blocks: 4
Number of cycles: 34913; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34963; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34975; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34920; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34971; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34918; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34972; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34916; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34921; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34736; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34921; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34927; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34912; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34918; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34970; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34978; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34812; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34917; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34923; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34924; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34777; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34913; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34911; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34729; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34758; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34925; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34926; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 34916; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
