Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Affected blocks: 1; Measurements per block: 30

Number of blocks: 1
Number of cycles: 601321; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601386; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601291; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601304; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601453; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601323; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601426; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601328; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601308; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601268; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601471; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601842; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601337; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601343; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601289; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601434; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601284; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601356; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601496; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601324; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601263; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601256; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 601404; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
