Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 76404; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76234; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76229; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76361; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76227; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76423; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76193; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76407; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76182; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76228; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76416; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76186; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76423; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76234; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76232; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76413; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76229; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76235; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76419; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76221; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76227; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76234; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76236; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76224; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76407; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76431; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76416; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76426; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76016; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 76241; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 76291.796875
Standard deviation: 106.303787

Number of blocks: 20
Number of cycles: 145045; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145239; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145184; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145249; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145247; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145194; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145368; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145232; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 145252; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
