Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 10; End: 100; Interval: 10; Affected blocks: 1; Measurements per block: 30

Number of blocks: 10
Number of cycles: 9629897; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629817; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630038; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629569; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629835; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629488; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629795; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629758; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629464; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629990; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629683; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629726; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9630054; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629930; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629487; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629841; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 9629940; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Average: 9629812.000000
Standard deviation: 209.973099

Number of blocks: 40
Number of cycles: 12750226; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12749693; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12749647; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12749753; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12749989; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12750485; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
Number of cycles: 12749602; correction_successful? 1; one_bit_err? 1; two_bit_err? 0
